"","合同编号.电子商务.","行项目.电子商务.","供应商编码","供应商名称","质保期","项目编码","项目名称","付款方式","分标信息","分包信息","分标编号","分包编号","采购申请","项目","物料编码","物料描述","物料组","大类描述","中类描述","小类描述","数量","计量单位","单价.不含税.","含税单价","含税总价","分项净价.元.","交货日期","国内外采购标识","交货地点及交换方式","货币","招标计划编号","修改标识","日期","时间","cuprice","rbprice"
"4800","CW265474","1","1000014602","山东泰开变压器有限公司",36,"15221310A0010120000000","220千伏高官变电站新建工程","3:4:2:1","66kV及以下变压器","包36","0711-12OTL09201059","900000000000081000 ","1000041853","10","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",230769.23,270000,540000,461538.46,"1212","1","施工现场地面交货","CNY","SG1205","",2012-07-04,"9:37:48",55970,4066
"4839","CW265662","1","1000002595","大连信达变压器有限公司",36,"1622BX10100K0120000000","66千伏张其寨变电站新建工程","3:4:2:1","66kV及以下变压器","包3","0711-12OTL09201059","900000000000081000 ","1000041813","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1615400,1890018,3780036,3230800,"1212","1","施工现场设备基础上交货","CNY","SG1205","",2012-07-04,"9:37:48",55970,4066
"4858","CW265708","1","1000001243","丹东欣泰电气股份有限公司",36,"2122BX120015","本溪八里甸子66kV变电站改造工程_农网改造升级1205","3:4:2:1","66kV及以下变压器","包16","0711-12OTL09201059","900000000000081000 ","1000042282","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",957300,1120041,2240082,1914600,"1212","1","施工现场设备基础上交货","CNY","SG1205","",2012-07-04,"9:37:48",55970,4066
"4897","CW265854","1","1000001243","丹东欣泰电气股份有限公司",36,"2122BX120020","本溪碱厂66kV变电站改造工程_农网改造升级1201","3:4:2:1","66kV及以下变压器","包16","0711-12OTL09201059","900000000000081000 ","1000042353","170","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",957300,1120041,1120041,957300,"1212","1","施工现场设备基础上交货","CNY","SG1205","",2012-07-04,"9:37:48",55970,4066
"4929","CW266018","1","1000023570","辽宁永泰电力设备制造有限公司",36,"1622BX1110260120000000","本溪县兰河峪66千伏变电站新建工程","3:4:2:1","66kV及以下变压器","包17","0711-12OTL09201059","900000000000081000 ","1000041874","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1055600,1235052,2470104,2111200,"1212","1","施工现场设备基础上交货","CNY","SG1205","",2012-07-04,"9:37:48",55970,4066
"4956","CW266100","1","1000023570","辽宁永泰电力设备制造有限公司",36,"2122BX120017","本溪施家66kV变电站改造工程_农网改造升级1210","3:4:2:1","66kV及以下变压器","包17","0711-12OTL09201059","900000000000081000 ","1000042074","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1081200,1265004,1265004,1081200,"1212","1","施工现场设备基础上交货","CNY","SG1205","",2012-07-04,"9:37:48",55970,4066
"4957","CW266102","1","1000001243","丹东欣泰电气股份有限公司",36,"1622BX1110250120000000","桓仁县崔家街66千伏变电站新建工程","3:4:2:1","66kV及以下变压器","包19","0711-12OTL09201059","900000000000081000 ","1000042147","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",859000,1005030,2010060,1718000,"1212","1","施工现场设备基础上交货","CNY","SG1205","",2012-07-04,"9:37:48",55970,4066
"5013","CW268641","1","1000001243","丹东欣泰电气股份有限公司",36,"2122HL12000801B0000000","葫芦岛寺儿堡66kV变电改造工程","3:4:2:1","66kV及以下变压器","包19","0711-12OTL09201059","900000000000081000 ","1000042299","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",958100,1120977,2241954,1916200,"1212","1","施工现场设备基础上交货","CNY","SG1205","",2012-07-03,"17:35:46",55870,4047
"5108","CW27813","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"1622DD10100J0120000000","东园66KV变电站新建工程","3:4:2.5:0.5","变压器","包111","0711-11OTL007-01","900000000000058000 ","1000030896","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1960000,2293200,4586400,3920000,"1204","1","施工现场地面交货","CNY","201111","",2011-12-20,"17:10:10",53470,4253
"5109","CW27815","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122DD12000301B0000000","丹东五龙背66千伏变电站增容改造工程变电工程","3:4:2.5:0.5","变压器","包115","0711-11OTL007-01","900000000000058000 ","1000032037","10","500031221","66kV油浸有载变压器,31.5MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1360000,1591200,3182400,2720000,"1205","1","施工现场设备基础上交货","CNY","201111","",2011-12-20,"17:10:10",53460,4173
"5161","CW27891","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122TL120003","铁岭供电公司66千伏所用变更换工程","3:4:2.5:0.5","变压器","包115","0711-11OTL007-01","900000000000058000 ","1000031956","10","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",230000,269100,269100,230000,"1202","1","施工现场地面交货","CNY","201111","",2011-12-19,"19:06:20",53960,4307
"5162","CW27893","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122TL120001","铁岭七里66kV变电站扩建工程","3:4:2.5:0.5","变压器","包115","0711-11OTL007-01","900000000000058000 ","1000032112","80","500031221","66kV油浸有载变压器,31.5MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1280000,1497600,1497600,1280000,"1203","1","施工现场地面交货","CNY","201111","",2011-12-19,"19:06:20",53530,4286
"5183","CW28031","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"1522LY1010060120000000","绣江220千伏变电站新建工程","3:4:2.5:0.5","变压器","包44","0711-11OTL007-01","900000000000058000 ","1000032058","10","500031230","220kV三相油浸有载变压器,180MVA,220/66,一体","G1001007","一次设备","交流变压器","220kV变压器","2","台",5550000,6493500,12987000,11100000,"1208","1","施工现场地面交货","CNY","201111","",2011-12-21,"14:26:26",54440,4202
"5184","CW28033","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122LY120005","辽阳望水台66千伏变电站增容改造工程","3:4:2.5:0.5","变压器","包111","0711-11OTL007-01","900000000000058000 ","1000032090","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1750000,2047500,4095000,3500000,"1205","1","施工现场地面交货","CNY","201111","",2011-12-21,"14:26:26",54400,4186
"5185","CW28035","1","1000014602","山东泰开变压器有限公司",36,"1622LY1100020120000000","东升66千伏变电站新建工程","3:4:2.5:0.5","变压器","包112","0711-11OTL007-01","900000000000058000 ","1000031928","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1547008.55,1810000,3620000.01,3094017.1,"1208","1","施工现场地面交货","CNY","201111","",2011-12-21,"14:26:26",54440,4202
"5186","CW28037","1","1000014602","山东泰开变压器有限公司",36,"2122LY120004","辽阳东园66千伏变电站增容改造工程","3:4:2.5:0.5","变压器","包113","0711-11OTL007-01","900000000000058000 ","1000032109","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1529914.53,1790000,3580000,3059829.06,"1205","1","施工现场地面交货","CNY","201111","",2011-12-21,"14:26:26",54400,4186
"5187","CW28039","1","1000014602","山东泰开变压器有限公司",36,"16LY221010100120000000","葛西河66千伏变电站新建工程","3:4:2.5:0.5","变压器","包113","0711-11OTL007-01","900000000000058000 ","1000032124","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1529914.53,1790000,3580000,3059829.06,"1208","1","施工现场地面交货","CNY","201111","",2011-12-21,"14:26:26",54440,4202
"9650","CW29287","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122DL12000401B0000000","变电-大连马栏66千伏变电站扩建工程","3:4:2.5:0.5","变压器","包111","0711-11OTL007-01","900000000000058000 ","1000032450","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1750000,2047500,2047500,1750000,"1205","1","施工现场地面交货","CNY","201111","",2011-12-20,"10:27:39",53460,4173
"9659","CW29289","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122DL12000301B0000000","变电-大连富岭66千伏变电站扩建工程","3:4:2.5:0.5","变压器","包111","0711-11OTL007-01","900000000000058000 ","1000032860","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1750000,2047500,2047500,1750000,"1204","1","施工现场地面交货","CNY","201111","",2011-12-20,"10:27:39",53470,4253
"10366","CW29918","1","1000014602","山东泰开变压器有限公司",36,"1522YK10000K0120000000","新建北海220千伏变电站工程","0:9:0:1","变压器","包112","0711-11OTL007-01","900000000000058000 ","1000031681","10","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",162393.16,190000,190000,162393.16,"1207","1","施工现场地面交货","CNY","201111","",2011-12-20,"14:26:11",53530,4179
"10367","CW29920","1","1000014602","山东泰开变压器有限公司",36,"2122YK12000601B0000000","营口供电公司清河66千伏变电站增容改造工程变电工程","3:4:2.5:0.5","变压器","包113","0711-11OTL007-01","900000000000058000 ","1000032359","90","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1521367.52,1780000,1780000,1521367.52,"1204","1","施工现场地面交货","CNY","201111","",2011-12-20,"14:26:11",53470,4253
"10492","CW30155","1","1000014602","山东泰开变压器有限公司",NA,"2122SY120001","沈阳供电公司劳动66千伏变电站增容工程","3:4:2.5:0.5","变压器","包106","0711-11OTL007-01","900000000000058000 ","1000032792","10","500031225","66kV油浸有载变压器,50MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1735042.74,2030000.01,4060000.01,3470085.48,"1202","1","施工现场地面交货","CNY","201111","",2011-12-21,"18:15:38",54900,4318
"10584","CW30580","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"1522FS11104B0120000000","抚顺220千伏友爱开闭站扩建工程","3:4:2.5:0.5","变压器","包44","0711-11OTL007-01","900000000000058000 ","1000032753","10","500031242","220kV三相油浸有载变压器,180MVA,220/66/10,一体","G1001007","一次设备","交流变压器","220kV变压器","2","台",5700000,6669000,13338000,11400000,"1202","1","施工现场地面交货","CNY","201111","",2011-12-21,"9:45:59",54900,4318
"10624","CW30652","1","1000014602","山东泰开变压器有限公司",36,"1622FS1100020120000000","抚顺泗水66kV变电站新建工程","3:4:2.5:0.5","变压器","包112","0711-11OTL007-01","900000000000058000 ","1000032766","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1606837.61,1880000,3760000.01,3213675.22,"1210","1","施工现场地面交货","CNY","201111","",2011-12-21,"9:45:59",54490,4158
"10714","CW30797","1","1000014602","山东泰开变压器有限公司",36,"1622PJ1100020120000000","66千伏工业变电站新建工程","3:4:2.5:0.5","变压器","包106","0711-11OTL007-01","900000000000058000 ","1000031837","10","500031226","66kV油浸有载变压器,50MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1726495.73,2020000,4040000.01,3452991.46,"1210","1","施工现场设备基础上交货","CNY","201111","",2011-12-21,"14:26:00",54490,4158
"10715","CW30799","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122PJ120009","盘锦66千伏所用变更换工程","3:4:2.5:0.5","变压器","包115","0711-11OTL007-01","900000000000058000 ","1000032752","10","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",230000,269100,269100,230000,"1206","1","施工现场地面交货","CNY","201111","",2011-12-21,"14:26:00",54430,4207
"10841","CW32414","1","1000014602","山东泰开变压器有限公司",36,"1622HL1110160120000000","葫芦岛兴海66kv变电站新建工程","3:4:2.5:0.5","变压器","包112","0711-11OTL007-01","900000000000058000 ","1000032604","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1598290.6,1870000,3740000,3196581.2,"1209","1","施工现场地面交货","CNY","201111","",2011-12-21,"18:17:00",54470,4189
"10895","CW32701","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"1522LY1010060120000000","绣江220千伏变电站新建工程","3:4:2.5:0.5","变压器","包115","0711-11OTL007-01","900000000000058000 ","1000032088","200","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",230000,269100,538200,460000,"1208","1","施工现场地面交货","CNY","201111","",2011-12-21,"14:26:26",54440,4202
"10970","CW32765","1","1000014602","山东泰开变压器有限公司",36,"2122BX120009","本溪合金66千伏变电站增容改造工程","3:4:2.5:0.5","变压器","包113","0711-11OTL007-01","900000000000058000 ","1000032234","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1529914.53,1790000,3580000,3059829.06,"1206","1","施工现场地面交货","CNY","201111","",2011-12-21,"18:17:03",54430,4207
"10994","CW32801","1","1000014602","山东泰开变压器有限公司",36,"2122BX120006","本溪梨树66千伏变电站增容工程","3:4:2.5:0.5","变压器","包112","0711-11OTL007-01","900000000000058000 ","1000032560","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1547008.55,1810000,1810000,1547008.55,"1206","1","施工现场设备基础上交货","CNY","201111","",2011-12-21,"18:17:03",54430,4207
"11042","CW32929","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122CY120001","朝阳凌北66kV变电站增容改造工程","3:4:2.5:0.5","变压器","包111","0711-11OTL007-01","900000000000058000 ","1000032760","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1750000,2047500,4095000,3500000,"1205","1","施工现场设备基础上交货","CNY","201111","",2011-12-21,"14:26:26",54400,4186
"11084","CW33033","1","1000014602","山东泰开变压器有限公司",12,"2122AS120003","鞍山红星66kV变电站增容工程","3:4:2.5:0.5","变压器","包106","0711-11OTL007-01","900000000000058000 ","1000032185","10","500031225","66kV油浸有载变压器,50MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1735042.74,2030000.01,4060000.01,3470085.48,"1203","1","施工现场设备基础上交货","CNY","201111","",2011-12-21,"18:17:11",54540,4301
"11215","CW381585","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"1522TL1010090620000000","铁岭220kV新地变电站新建工程","3:4:2:1","220kV变压器","包22","0711-12OTL13101086","900000000000097000 ","1000044790","10","500031242","220kV三相油浸有载变压器,180MVA,220/66/10,一体","G1001007","一次设备","交流变压器","220kV变压器","2","台",6020000,7043400,14086800,12040000,"1305","1","施工现场设备基础上交货","CNY","SG1207","",2012-08-17,"14:21:02",54510,3691
"11216","CW381587","1","1000014662","西安西电变压器有限责任公司",36,"1522TL0003-1","双山220kV变电站新建工程","3:4:2:1","220kV变压器","包37","0711-12OTL13101086","900000000000097000 ","1000004583","20","500037746","220kV三相油浸有载变压器,120MVA,220/66/10,一体","G1001007","一次设备","交流变压器","220kV变压器","1","台",5070000,5931900,5931900,5070000,"1305","1","施工现场设备基础上交货","CNY","SG1207","",2012-08-20,"10:43:26",54590,3671
"11227","CW381603","1","1000014582","江苏华鹏变压器有限公司",36,"1522TL1010090620000000","铁岭220kV新地变电站新建工程","3:4:2:1","66kV及以下变压器","包18","0711-12OTL13101088","900000000000097000 ","1000044760","30","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",228200,266994,533988,456400,"1305","1","施工现场设备基础上交货","CNY","SG1207","",2012-08-17,"14:21:02",54510,3691
"11301","CW381757","1","1000023636","沈阳福林特种变压器有限公司",36,"1622LY10100L0120000000","站前66千伏变电站新建工程","3:4:2:1","66kV及以下变压器","包2","0711-12OTL13101088","900000000000097000 ","1000041944","20","500031226","66kV油浸有载变压器,50MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1964100,2297997,4595994,3928200,"1304","1","施工现场地面交货","CNY","SG1207","",2012-08-17,"14:21:02",54490,3714
"11302","CW381759","1","1000014777","山东达驰电气有限公司",36,"1622LY1010220120000000","小赵台66千伏变电站新建工程","3:4:2:1","66kV及以下变压器","包3","0711-12OTL13101088","900000000000097000 ","1000045004","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1580000,1848600,3697200,3160000,"1305","1","施工现场地面交货","CNY","SG1207","",2012-08-17,"12:22:24",54510,3691
"11303","CW381761","1","1000014777","山东达驰电气有限公司",36,"1622LY11101G0120000000","河东66kV变电站新建工程","3:4:2:1","66kV及以下变压器","包3","0711-12OTL13101088","900000000000097000 ","1000045267","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1690000,1977300,3954600,3380000,"1305","1","施工现场地面交货","CNY","SG1207","",2012-08-17,"12:22:24",54510,3691
"11370","CW381845","1","1000014636","特变电工沈阳变压器集团有限公司",36,"1522YK11000C0120000000","东昌220千伏变电站新建工程","3:4:2:1","220kV变压器","包4","0711-12OTL13101086","900000000000096000 ","1000044789","10","500031233","220kV三相油浸有载变压器,240MVA,220/66,一体","G1001007","一次设备","交流变压器","220kV变压器","2","台",6920000,8096400,16192800,13840000,"1305","1","施工现场设备基础上交货","CNY","SG1207","",2012-08-18,"15:20:21",54510,3691
"11376","CW381859","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122CY120017","朝阳供电公司66千伏西郊变电站增容改造工程","3:4:2:1","66kV及以下变压器","包1","0711-12OTL13101088","900000000000095000 ","1000045068","20","500031225","66kV油浸有载变压器,50MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1880000,2199600,4399200,3760000,"1212","1","施工现场地面交货","CNY","SG1207","",2012-08-17,"18:24:05",54600,3677
"11377","CW381861","1","1000014777","山东达驰电气有限公司",36,"1622YK11102D0120000000","温泉66千伏变电站新建工程","3:4:2:1","66kV及以下变压器","包3","0711-12OTL13101088","900000000000097000 ","1000039706","20","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1670000,1953900,3907800,3340000,"1305","1","施工现场设备基础上交货","CNY","SG1207","",2012-08-18,"15:20:21",54510,3691
"11415","CW381893","1","1000014691","重庆市亚东亚集团变压器有限公司",36,"1522YK11000C0120000000","东昌220千伏变电站新建工程","3:4:2:1","66kV及以下变压器","包19","0711-12OTL13101088","900000000000097000 ","1000044807","10","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",4e+05,468000,936000,8e+05,"1305","1","施工现场设备基础上交货","CNY","SG1207","",2012-08-18,"15:20:21",54510,3691
"11420","CW381905","1","1000014636","特变电工沈阳变压器集团有限公司",36,"1622CY1110550120000000","巴图营66千伏变电站新建工程","3:4:2:1","66kV及以下变压器","包7","0711-12OTL13101088","900000000000097000 ","1000044817","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",1e+06,1170000,1170000,1e+06,"1302","1","施工现场设备基础上交货","CNY","SG1207","",2012-08-17,"18:24:05",54470,3646
"11442","CW382391","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122DD12001201B0000000","丹东66千伏锦江山变电站增容改造工程变电工程","3:4:2:1","66kV及以下变压器","包1","0711-12OTL13101088","900000000000095000 ","1000042714","20","500031225","66kV油浸有载变压器,50MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1880000,2199600,4399200,3760000,"1303","1","施工现场设备基础上交货","CNY","SG1207","",2012-08-17,"18:24:05",54440,3684
"11497","CW382579","1","1000023636","沈阳福林特种变压器有限公司",36,"1622BX11101U0120000000","66千伏郑家变电站新建工程","3:4:2:1","66kV及以下变压器","包2","0711-12OTL13101088","900000000000097000 ","1000044873","10","500031226","66kV油浸有载变压器,50MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1960700,2294019,4588038,3921400,"1305","1","施工现场设备基础上交货","CNY","SG1207","",2012-08-18,"13:19:35",54510,3691
"11498","CW382601","1","1000014582","江苏华鹏变压器有限公司",36,"1622BX10100J0120000000","66千伏梁家变电站新建工程","3:4:2:1","66kV及以下变压器","包4","0711-12OTL13101088","900000000000097000 ","1000044882","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1692100,1979757,3959514,3384200,"1305","1","施工现场设备基础上交货","CNY","SG1207","",2012-08-20,"16:01:21",54590,3671
"11499","CW382603","1","1000014582","江苏华鹏变压器有限公司",36,"1622BX10100M0120000000","66千伏爱国变电站新建工程","3:4:2:1","66kV及以下变压器","包4","0711-12OTL13101088","900000000000097000 ","1000044987","10","500031224","66kV油浸有载变压器,40MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1692100,1979757,3959514,3384200,"1305","1","施工现场设备基础上交货","CNY","SG1207","",2012-08-20,"16:01:21",54590,3671
"11747","CW383811","1","1000014582","江苏华鹏变压器有限公司",36,"2122FS120010","抚顺66千伏演武变电站重建工程","3:4:2:1","66kV及以下变压器","包4","0711-12OTL13101088","900000000000097000 ","1000042995","30","500116453","66kV油浸有载变压器,40MVA,66/10/6.3,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1737400,2032758,4065516,3474800,"1211","1","施工现场地面交货","CNY","SG1207","",2012-08-17,"16:31:51",54770,3699
"11942","CW384409","1","1000014636","特变电工沈阳变压器集团有限公司",36,"1622DL10108K0120000000","大连66千伏英歌石输变电工程变电","3:4:2:1","66kV及以下变压器","包7","0711-12OTL13101088","900000000000097000 ","1000044753","10","500031220","66kV油浸有载变压器,20MVA,66/10,水平分体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1070000,1251900,2503800,2140000,"1302","1","施工现场设备基础上交货","CNY","SG1207","",2012-08-20,"10:43:34",54510,3627
"12158","CW385345","1","1000000136","中国能源建设集团葫芦岛电力设备厂",36,"2122AS12006601B0000000","鞍山66千伏牛西变电站增容改造工程","3:4:2:1","66kV及以下变压器","包1","0711-12OTL13101088","900000000000095000 ","1000045122","10","500031225","66kV油浸有载变压器,50MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1880000,2199600,4399200,3760000,"1303","1","买方指定仓库地面交货","CNY","SG1207","",2012-08-20,"14:00:45",54510,3672
"23278","CW69486","1","1000001243","丹东欣泰电气股份有限公司",36,"1622CY1010790120000000","河坎子66千伏变电站新建工程","3:4:2.5:0.5","66kV及以下变压器","包3","0711-12OTL01301004","900000000000062000 ","1000037647","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1638500,1917045,3834090,3277000,"1209","1","施工现场设备基础上交货","CNY","SG1201","",2012-03-16,"15:10:09",61120,4329
"23279","CW69488","1","1000001243","丹东欣泰电气股份有限公司",36,"1622CY10106T0120000000","羊角沟66千伏变电站新建工程","3:4:2.5:0.5","66kV及以下变压器","包4","0711-12OTL01301004","900000000000062000 ","1000037676","10","500031219","66kV油浸有载变压器,20MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1082100,1266057,2532114,2164200,"1204","1","施工现场地面交货","CNY","SG1201","",2012-03-16,"15:10:09",60340,4290
"23329","CW69589","1","1000001243","丹东欣泰电气股份有限公司",36,"2122PJ12000301B0000000","盘锦二界沟66千伏变电站改造工程","3:4:2.5:0.5","66kV及以下变压器","包4","0711-12OTL01301004","900000000000062000 ","1000032840","10","500031223","66kV油浸有载变压器,40MVA,66/10,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",1626500,1903005,3806010,3253000,"1207","1","施工现场设备基础上交货","CNY","SG1201","",2012-03-17,"12:59:45",60980,4320
"23330","CW69593","1","1000023636","沈阳福林特种变压器有限公司",36,"1522PJ1100030120000000","220千伏辽河变电站新建工程","3:4:2.5:0.5","66kV及以下变压器","包11","0711-12OTL01301004","900000000000062000 ","1000030582","120","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",206837.61,242000,484000.01,413675.22,"1212","1","施工现场设备基础上交货","CNY","SG1201","",2012-03-17,"13:09:04",61340,4349
"23331","CW69595","1","1000023636","沈阳福林特种变压器有限公司",36,"1522PJ10102P0120000000","220千伏盘锦南环变电站新建工程","3:4:2.5:0.5","66kV及以下变压器","包11","0711-12OTL01301004","900000000000062000 ","1000036893","10","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","2","台",211111.11,247000,494000,422222.22,"1212","1","施工现场设备基础上交货","CNY","SG1201","",2012-03-17,"13:09:04",61340,4349
"23344","CW69923","1","1000023636","沈阳福林特种变压器有限公司",36,"1522FS11104B0120000000","抚顺220千伏友爱开闭站扩建工程","3:4:2.5:0.5","66kV及以下变压器","包11","0711-12OTL01301004","900000000000062000 ","1000037256","10","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",210256.41,246000,246000,210256.41,"1205","1","施工现场地面交货","CNY","SG1201","",2012-03-19,"9:00:00",60180,4311
"23353","CW69951","1","1000023636","沈阳福林特种变压器有限公司",1,"2122HL120001","建昌220千伏变电站站用变改造工程","3:4:2.5:0.5","66kV及以下变压器","包11","0711-12OTL01301004","900000000000062000 ","1000036827","80","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",211965.81,248000,248000,211965.81,"1206","1","施工现场设备基础上交货","CNY","SG1201","",2012-03-16,"14:29:08",60830,4311
"23521","CW70325","1","1000023636","沈阳福林特种变压器有限公司",NA,"2122SY120004","沈阳供电公司220千伏变电站66千伏外电源改造工程","3:4:2.5:0.5","66kV及以下变压器","包11","0711-12OTL01301004","900000000000062000 ","1000032720","160","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",210256.41,246000,246000,210256.41,"1205","1","施工现场地面交货","CNY","SG1201","",2012-03-16,"15:29:08",60650,4311
"23704","CW70561","1","1000023636","沈阳福林特种变压器有限公司",12,"1522YK11000D0120000000","营口220千伏博洛铺变电站扩建工程","3:4:2.5:0.5","66kV及以下变压器","包11","0711-12OTL01301004","900000000000062000 ","1000037110","10","500113059","66kV油浸无励磁变压器,630kVA,66/0.4,一体","G1001005","一次设备","交流变压器","66kV变压器","1","台",211965.81,248000,248000,211965.81,"1210","1","施工现场地面交货","CNY","SG1201","",2012-03-16,"16:09:35",61210,4333
